start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
6.7260,7.2485,0.5224,60,C4,261.626,88,0.6894
6.6331,6.7260,0.0929,60,C4,261.626,102,0.8058
6.6215,6.8537,0.2322,65,F4,349.228,84,0.6630
6.3777,6.6331,0.2554,60,C4,261.626,93,0.7320
6.1223,6.3777,0.2554,60,C4,261.626,96,0.7567
6.1107,6.6215,0.5108,65,F4,349.228,62,0.4898
5.9585,6.0991,0.1406,48,C3,130.813,57,0.4452
5.9469,6.1223,0.1754,60,C4,261.626,60,0.4696
5.6102,6.1107,0.5005,65,F4,349.228,47,0.3689
5.4244,5.5637,0.1393,48,C3,130.813,45,0.3571
5.2619,5.6102,0.3483,65,F4,349.228,46,0.3583
5.2619,5.9469,0.6850,60,C4,261.626,82,0.6420
4.8904,5.4244,0.5341,48,C3,130.813,49,0.3895
